variant,source,e_explicit,m_explicit,f_explicit,e_could_be,m_could_be,f_could_be,e_score,m_score,f_score,e_max,m_max,f_max,d_min,d_max,zone,uncertain,question_tags,ins_number,compound_name,nutrient_class,dairy_product_subtype,milling_grade,oil_fraction,protein_fraction,sugar_form,language_tag,f_revised
oil,palm | soybean | sunflower | groundnut,,oil,lipid base,cold pressing|refining|solvent extraction,,,0.0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False,,,,,,,,,,lipid base
snf,milk,,powder,base ingredient,,concentrate,,0.0,0.42,0.12,0.0,0.42,0.12,0.174,0.174,1,False,False,,,,,,,,,,processed_ingredient
soy,soybean,,,base ingredient,,,,0.0,0.0,0.12,0.0,0.0,0.12,0.048,0.048,1,False,False,,,,,,,,,,raw_agricultural_material
tvp,soybean,,protein concentrate,base ingredient,?extrusion,,,0.0,0.74,0.12,0.6,0.74,0.12,0.27,0.45,1,True,True,,,,,,,textured_plant_protein,,,processed_ingredient
oat,oat,,,base ingredient,milling,flour/fine powder|coarse grits,,0.0,0.0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False,,,,,,,,,,raw_agricultural_material
wpc,milk,,protein concentrate,base ingredient,,whey powder,,0.0,0.74,0.12,0.0,0.74,0.12,0.27,0.27,1,False,False,,,,,,,whey_concentrate,,,processed_ingredient
dha,algae | fish,,oil,lipid base,solvent extraction,,,0.0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False,,,,,,,,,,lipid base
egg,egg,,whole/fresh pieces,base ingredient,,,,0.0,0.05,0.12,0.0,0.05,0.12,0.063,0.063,1,False,False,,,,,,,,,,raw_agricultural_material
hvp,soybean,?hydrolysis,protein concentrate,base ingredient,,,flavouring agent,0.6,0.74,0.12,0.6,0.74,0.675,0.45,0.672,2,False,True,,,,,,,hydrolysate,,,processed_ingredient
tea,tea,,,flavouring agent,fermentation,whole/fresh pieces|powder,taste profile / spice,0.0,0.0,0.675,0.56,0.42,0.675,0.27,0.564,1,True,False,,,,,,,,,,flavouring agent
fig,fig,,whole/fresh pieces,base ingredient,,,sweetener,0.0,0.05,0.12,0.0,0.05,0.625,0.063,0.265,1,False,False,,,,,,,,,,raw_agricultural_material
bht,synthetic,,crystalline chemical,antioxidant|preservative,,,,0.0,0.98,0.885,0.0,0.98,0.885,0.648,0.648,2,False,False,,,,,,,,,,antioxidant|preservative
fos,sugarcane | chicory,,powder,sweetener|bulking agent,,,?prebiotic,0.0,0.42,0.625,0.0,0.42,0.625,0.376,0.376,2,False,True,,,,,,,,,,sweetener|bulking agent
rye,rye,,,base ingredient,milling,flour/fine powder|coarse grits,,0.0,0.0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False,,,,,,,,,,raw_agricultural_material
tvp,soybean,,protein concentrate,base ingredient,?extrusion,,,0.0,0.74,0.12,0.6,0.74,0.12,0.27,0.45,1,True,True,,,,,,,textured_plant_protein,,,processed_ingredient
palm,palm,,whole/fresh pieces,base ingredient,,,,0.0,0.05,0.12,0.0,0.05,0.12,0.063,0.063,1,False,False,,,,,,,,,,raw_agricultural_material
oils,palm | soybean | sunflower | groundnut,,oil,lipid base,cold pressing|refining|solvent extraction,,,0.0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False,,,,,,,,,,lipid base
